     Depth;ArrivalTime1_Manual;ArrivalTime2_Manual;ArrivalTime3_Manual
17.22;315.765;342.824;365.882
17.24;316.235;342.353;365.882
17.26;315.294;339.765;363.059
17.28;315.765;338.353;362.588
17.3;310.353;338.824;362.588
17.32;305.882;329.176;353.412
17.34;299.765;323.765;343.765
17.36;291.529;315.294;335.529
17.38;288.706;308.471;330.588
17.4;286.118;304.471;328.235
17.42;282.824;303.529;326.353
17.44;282.353;303.529;326.824
17.46;282.353;304;329.647
17.48;277.412;301.647;331.059
17.5;277.412;301.647;325.412
17.52;277.412;306.588;321.882
17.54;276;304.941;318.118
17.56;270.353;301.176;316.235
17.58;267.765;299.294;315.765
17.6;265.412;296.235;315.294
17.62;265.412;294.824;315.294
17.64;266.824;296.235;316.706
17.66;268.235;298.824;316.706
17.68;269.176;296.706;318.588
17.7;271.765;295.765;322.353
17.72;272.706;296.235;322.824
17.74;272.706;296.235;322.824
17.76;276;297.412;327.294
17.78;282.353;306.588;328.235
17.8;284.706;307.059;328.235
17.82;289.647;310.824;329.647
17.84;293.882;313.647;333.647
17.86;294.824;315.765;337.882
17.88;294.824;314.588;341.647
17.9;295.765;314.118;342.824
17.92;301.647;317.176;344.706
17.94;307.529;322.824;348
17.96;308.471;329.647;352.471
17.98;312.706;331.529;357.176
18;317.176;335.529;360
18.02;317.176;341.176;363.529
18.04;320;342.353;367.765
18.06;322.824;346.588;370.824
18.08;322.353;345.647;375.059
18.1;334.118;350.824;377.412
18.12;335.059;353.412;379.059
18.14;334.588;357.647;379.529
18.16;334.118;358.588;378.588
18.18;330.118;359.059;376.941
18.2;326.353;358.118;376.941
18.22;324.941;353.412;374.588
18.24;322.824;345.647;372.235
18.26;318.118;345.647;366.353
18.28;317.176;339.765;366.353
18.3;317.647;339.294;363.059
18.32;321.412;343.294;363.059
18.34;319.059;343.765;364.941
18.36;318.118;340.706;364.941
18.38;317.647;340.706;367.765
18.4;318.588;341.176;385.176
18.42;318.118;365.412;386.588
18.44;318.118;364.941;388.235
18.46;346.118;365.882;388.235
18.48;346.118;364.941;389.176
18.5;315.294;359.059;389.176
18.52;319.529;365.882;391.529
18.54;324.941;364.941;391.529
18.56;329.647;384.706;393.882
18.58;337.412;384.706;397.882
18.6;350.824;384.706;398.824
18.62;352;383.765;399.765
18.64;362.118;380;400.706
18.66;359.529;380.941;400.706
18.68;360.706;381.882;422.353
18.7;358.588;382.824;407.529
18.72;353.882;382.353;409.882
18.74;353.882;383.294;411.765
18.76;352;383.294;407.529
18.78;349.412;379.059;407.059
18.8;345.176;371.294;398.353
18.82;341.176;370.353;394.353
18.84;340.706;372.706;397.412
18.86;337.882;368.706;392.941
18.88;333.647;362.118;392
18.9;330.118;356.706;385.176
18.92;326.824;352;376
18.94;326.353;350.824;370.824
18.96;324.471;347.059;370.824
18.98;322.353;344.706;365.412
19;322.824;340.706;353.412
19.02;322.353;337.412;355.294
19.04;315.765;332.941;352
19.06;311.294;329.647;352
19.08;308.941;330.118;349.882
19.1;306.588;329.176;348.471
19.12;304.941;327.765;348
19.14;301.647;325.412;342.353
19.16;295.765;320.471;334.588
19.18;292.941;316.706;331.529
19.2;290.118;309.882;331.059
19.22;293.412;309.882;332
19.24;293.412;314.588;333.647
19.26;300.706;320.471;336
19.28;304.941;322.824;337.882
19.3;309.882;323.294;342.353
19.32;313.176;328.706;342.824
19.34;317.176;330.118;346.588
19.36;317.647;330.588;346.588
19.38;317.647;332.471;346.118
19.4;-999;372.706;387.765
19.42;326.824;371.765;379.529
19.44;326.353;357.647;374.588
19.46;327.294;343.765;368.235
19.48;327.294;341.176;368.235
19.5;319.529;341.176;365.412
19.52;310.353;338.353;358.588
19.54;306.588;331.059;348.941
19.56;301.176;320.471;342.353
19.58;294.353;314.588;338.824
19.6;293.882;313.176;337.882
19.62;292.941;312.706;336
19.64;290.588;313.647;334.588
19.66;288;316.235;335.059
19.68;290.588;317.176;338.824
19.7;294.824;316.706;344.235
19.72;304.471;321.412;355.765
19.74;307.059;331.059;355.765
19.76;308.941;333.647;359.059
19.78;308.941;335.059;359.059
19.8;305.412;334.588;359.059
19.82;299.294;334.588;361.176
19.84;292;313.176;320.941
19.86;291.059;308;324.471
19.88;291.059;312.235;330.588
19.9;288.706;312.706;330.588
19.92;288;314.588;332.941
19.94;294.353;318.118;335.059
19.96;296.235;318.588;339.294
19.98;302.118;319.059;343.294
20;303.529;321.882;343.765
20.02;302.588;326.824;345.647
20.04;-999;333.647;343.765
20.06;-999;329.647;340.235
20.08;-999;327.765;339.765
20.1;-999;319.529;340.235
20.12;294.824;319.529;347.059
20.14;300.235;326.353;348.941
20.16;308;332.941;349.412
20.18;308.471;331.059;353.412
20.2;308.471;331.059;353.412
20.22;308.471;328.706;353.882
20.24;309.412;327.294;354.353
20.26;309.412;324.941;352.471
20.28;309.412;323.294;349.412
20.3;305.412;323.294;347.529
20.32;304.471;324.941;346.588
20.34;302.118;323.765;346.118
20.36;301.176;321.412;344.235
20.38;300.235;322.353;344.235
20.4;300.235;324.471;348.941
20.42;299.765;322.353;347.529
20.44;299.765;323.765;345.647
20.46;299.765;324.941;344.706
20.48;304;324.941;344.235
20.5;303.059;322.353;345.176
20.52;300.235;320;345.176
20.54;296.706;314.588;345.176
20.56;300.235;320;353.412
20.58;300.706;321.412;355.765
20.6;304.941;330.588;354.353
20.62;306.588;331.529;353.412
20.64;307.529;332;355.765
20.66;308;331.529;357.176
20.68;307.059;331.529;355.294
20.7;304.471;332.471;355.294
20.72;308;329.176;354.353
20.74;308.471;329.176;347.529
20.76;305.412;323.294;346.588
20.78;304.941;319.529;346.588
20.8;301.176;317.647;345.647
20.82;298.353;319.059;338.824
20.84;298.353;320;340.706
20.86;299.294;321.882;341.176
20.88;299.765;317.176;341.176
20.9;297.412;314.118;339.765
20.92;296.706;313.647;336.941
20.94;296.235;316.235;340.706
20.96;296.706;316.706;338.824
20.98;297.882;316.706;339.294
21;296.235;315.765;342.353
21.02;296.235;322.353;343.294
21.04;296.235;323.294;344.706
21.06;296.706;325.882;347.059
21.08;298.824;326.353;346.588
21.1;300.706;324.471;346.118
21.12;299.294;322.353;346.588
21.14;299.765;321.882;343.765
21.16;298.824;321.412;342.353
21.18;296.706;321.412;341.647
21.2;294.353;321.412;342.353
21.22;297.882;320.471;340.706
21.24;303.059;319.529;348.941
21.26;304;318.588;350.353
21.28;308.471;328.235;350.353
21.3;309.882;331.529;351.529
21.32;311.294;333.647;355.294
21.34;312.706;333.647;359.529
21.36;311.294;333.647;359.529
21.38;313.176;333.647;359.529
21.4;317.647;335.529;359.059
21.42;317.647;336;360.735
